TIME_BIN TIME_MIN TIME TIME_MAX COUNTS STAT_ERR AREA EXPOSURE COUNT_RATE COUNT_RATE_ERR
1 240400306.82264 240400308.44316 240400310.06368 0 0.0 143.13881527918494 0.0 0.0 0.0
2 240400310.06368 240400311.6842 240400313.30471998 0 0.0 143.13881527918494 0.0 0.0 0.0
3 240400313.30472 240400314.92524 240400316.54576 0 0.0 143.13881527918494 0.0 0.0 0.0
4 240400316.54576 240400318.16628 240400319.7868 0 0.0 143.13881527918494 0.0 0.0 0.0
5 240400319.7868 240400321.40732 240400323.02784 0 0.0 143.13881527918494 0.0 0.0 0.0
6 240400323.02784 240400324.64835998 240400326.26887998 0 0.0 143.13881527918494 0.0 0.0 0.0
7 240400326.26888 240400327.8894 240400329.50992 0 0.0 143.13881527918494 0.0 0.0 0.0
8 240400329.50992 240400331.13044 240400332.75096 0 0.0 143.13881527918494 0.0 0.0 0.0
9 240400332.75096 240400334.37148 240400335.99199998 0 0.0 143.13881527918494 0.0 0.0 0.0
10 240400335.992 240400337.61252 240400339.23304 0 0.0 143.13881527918494 0.0 0.0 0.0
11 240400339.23304 240400340.85356 240400342.47408 0 0.0 143.13881527918494 0.0 0.0 0.0
12 240400342.47408 240400344.0946 240400345.71512 0 0.0 143.13881527918494 0.0 0.0 0.0
13 240400345.71512 240400347.33563998 240400348.95615998 0 0.0 143.13881527918494 0.0 0.0 0.0
14 240400348.95616 240400350.57668 240400352.1972 0 0.0 143.13881527918494 0.0 0.0 0.0
15 240400352.1972 240400353.81772 240400355.43824 0 0.0 143.13881527918494 0.0 0.0 0.0
16 240400355.43824 240400357.05876 240400358.67927998 0 0.0 143.13881527918494 0.0 0.0 0.0
17 240400358.67928 240400360.2998 240400361.92032 0 0.0 143.13881527918494 0.0 0.0 0.0
18 240400361.92032 240400363.54084 240400365.16136 0 0.0 143.13881527918494 0.0 0.0 0.0
19 240400365.16136 240400366.78188 240400368.4024 0 0.0 143.13881527918494 0.0 0.0 0.0
20 240400368.4024 240400370.02291998 240400371.64343998 0 0.0 143.13881527918494 0.0 0.0 0.0
