TIME_BIN TIME_MIN TIME TIME_MAX COUNTS STAT_ERR AREA EXPOSURE COUNT_RATE COUNT_RATE_ERR
1 492208789.66097 492208791.28148997 492208792.90200996 0 0.0 213.8246499849553 0.0 0.0 0.0
2 492208792.90200996 492208794.52252996 492208796.14304996 0 0.0 213.8246499849553 0.0 0.0 0.0
3 492208796.14304996 492208797.76356995 492208799.38408995 0 0.0 213.8246499849553 0.0 0.0 0.0
4 492208799.38408995 492208801.00460994 492208802.62512994 0 0.0 213.8246499849553 0.0 0.0 0.0
5 492208802.62513 492208804.24565 492208805.86617 0 0.0 213.8246499849553 0.0 0.0 0.0
6 492208805.86617 492208807.48669 492208809.10721 0 0.0 213.8246499849553 0.0 0.0 0.0
7 492208809.10721 492208810.72773 492208812.34825 0 0.0 213.8246499849553 0.0 0.0 0.0
8 492208812.34825 492208813.96876997 492208815.58928996 0 0.0 213.8246499849553 0.0 0.0 0.0
9 492208815.58928996 492208817.20980996 492208818.83032995 0 0.0 213.8246499849553 0.0 0.0 0.0
10 492208818.83032995 492208820.45084995 492208822.07136995 0 0.0 213.8246499849553 0.0 0.0 0.0
11 492208822.07136995 492208823.69188994 492208825.31240994 0 0.0 213.8246499849553 0.0 0.0 0.0
12 492208825.31241 492208826.93293 492208828.55345 0 0.0 213.8246499849553 0.0 0.0 0.0
13 492208828.55345 492208830.17397 492208831.79449 0 0.0 213.8246499849553 0.0 0.0 0.0
14 492208831.79449 492208833.41501 492208835.03553 0 0.0 213.8246499849553 0.0 0.0 0.0
15 492208835.03553 492208836.65604997 492208838.27656996 0 0.0 213.8246499849553 0.0 0.0 0.0
16 492208838.27656996 492208839.89708996 492208841.51760995 0 0.0 213.8246499849553 0.0 0.0 0.0
17 492208841.51760995 492208843.13812995 492208844.75864995 0 0.0 213.8246499849553 0.0 0.0 0.0
18 492208844.75864995 492208846.37916994 492208847.99968994 0 0.0 213.8246499849553 0.0 0.0 0.0
19 492208847.99969 492208849.62021 492208851.24073 0 0.0 213.8246499849553 0.0 0.0 0.0
20 492208851.24073 492208852.86125 492208854.48177 0 0.0 213.8246499849553 0.0 0.0 0.0
21 492208854.48177 492208856.10229 492208857.72281 0 0.0 213.8246499849553 0.0 0.0 0.0
22 492208857.72281 492208859.34332997 492208860.96384996 0 0.0 213.8246499849553 0.0 0.0 0.0
23 492208860.96384996 492208862.58436996 492208864.20488995 0 0.0 213.8246499849553 0.0 0.0 0.0
24 492208864.20488995 492208865.82540995 492208867.44592994 0 0.0 213.8246499849553 0.0 0.0 0.0
25 492208867.44592994 492208869.06644994 492208870.68696994 0 0.0 213.8246499849553 0.0 0.0 0.0
26 492208870.68697 492208872.30749 492208873.92801 0 0.0 213.8246499849553 0.0 0.0 0.0
27 492208873.92801 492208875.54853 492208877.16905 0 0.0 213.8246499849553 0.0 0.0 0.0
28 492208877.16905 492208878.78957 492208880.41008997 0 0.0 213.8246499849553 0.0 0.0 0.0
29 492208880.41008997 492208882.03060997 492208883.65112996 0 0.0 213.8246499849553 0.0 0.0 0.0
30 492208883.65112996 492208885.27164996 492208886.89216995 0 0.0 213.8246499849553 0.0 0.0 0.0
31 492208886.89216995 492208888.51268995 492208890.13320994 0 0.0 213.8246499849553 0.0 0.0 0.0
32 492208890.13320994 492208891.75372994 492208893.37424994 0 0.0 213.8246499849553 0.0 0.0 0.0
33 492208893.37425 492208894.99477 492208896.61529 0 0.0 213.8246499849553 0.0 0.0 0.0
34 492208896.61529 492208898.23581 492208899.85633 0 0.0 213.8246499849553 0.0 0.0 0.0
35 492208899.85633 492208901.47685 492208903.09736997 0 0.0 213.8246499849553 0.0 0.0 0.0
36 492208903.09736997 492208904.71788996 492208906.33840996 0 0.0 213.8246499849553 0.0 0.0 0.0
37 492208906.33840996 492208907.95892996 492208909.57944995 0 0.0 213.8246499849553 0.0 0.0 0.0
38 492208909.57944995 492208911.19996995 492208912.82048994 0 0.0 213.8246499849553 0.0 0.0 0.0
39 492208912.82048994 492208914.44100994 492208916.06152993 0 0.0 213.8246499849553 0.0 0.0 0.0
40 492208916.06153 492208917.68205 492208919.30257 0 0.0 213.8246499849553 0.0 0.0 0.0
41 492208919.30257 492208920.92309 492208922.54361 0 0.0 213.8246499849553 0.0 0.0 0.0
42 492208922.54361 492208924.16413 492208925.78464997 0 0.0 213.8246499849553 0.0 0.0 0.0
43 492208925.78464997 492208927.40516996 492208929.02568996 0 0.0 213.8246499849553 0.0 0.0 0.0
44 492208929.02568996 492208930.64620996 492208932.26672995 0 0.0 213.8246499849553 0.0 0.0 0.0
45 492208932.26672995 492208933.88724995 492208935.50776994 0 0.0 213.8246499849553 0.0 0.0 0.0
46 492208935.50777 492208937.12829 492208938.74881 0 0.0 213.8246499849553 0.0 0.0 0.0
47 492208938.74881 492208940.36933 492208941.98985 0 0.0 213.8246499849553 0.0 0.0 0.0
48 492208941.98985 492208943.61037 492208945.23089 0 0.0 213.8246499849553 0.0 0.0 0.0
49 492208945.23089 492208946.85141 492208948.47192997 0 0.0 213.8246499849553 0.0 0.0 0.0
50 492208948.47192997 492208950.09244996 492208951.71296996 0 0.0 213.8246499849553 0.0 0.0 0.0
51 492208951.71296996 492208953.33348995 492208954.95400995 0 0.0 213.8246499849553 0.0 0.0 0.0
52 492208954.95400995 492208956.57452995 492208958.19504994 0 0.0 213.8246499849553 0.0 0.0 0.0
53 492208958.19505 492208959.81557 492208961.43609 0 0.0 213.8246499849553 0.0 0.0 0.0
54 492208961.43609 492208963.05661 492208964.67713 0 0.0 213.8246499849553 0.0 0.0 0.0
55 492208964.67713 492208966.29765 492208967.91817 0 0.0 213.8246499849553 0.0 0.0 0.0
56 492208967.91817 492208969.53869 492208971.15920997 0 0.0 213.8246499849553 0.0 0.0 0.0
57 492208971.15920997 492208972.77972996 492208974.40024996 0 0.0 213.8246499849553 0.0 0.0 0.0
58 492208974.40024996 492208976.02076995 492208977.64128995 0 0.0 213.8246499849553 0.0 0.0 0.0
59 492208977.64128995 492208979.26180995 492208980.88232994 0 0.0 213.8246499849553 0.0 0.0 0.0
