TIME_BIN TIME_MIN TIME TIME_MAX COUNTS STAT_ERR AREA EXPOSURE COUNT_RATE COUNT_RATE_ERR
1 409681760.59442 409681762.21494 409681763.83546 0 0.0 921.3211330504192 0.0 0.0 0.0
2 409681763.83546 409681765.45598 409681767.0765 0 0.0 921.3211330504192 0.0 0.0 0.0
3 409681767.0765 409681768.69702 409681770.31754 0 0.0 921.3211330504192 0.0 0.0 0.0
4 409681770.31754 409681771.93806 409681773.55858 0 0.0 921.3211330504192 0.0 0.0 0.0
5 409681773.55858004 409681775.17910004 409681776.79962003 0 0.0 921.3211330504192 0.0 0.0 0.0
6 409681776.79962003 409681778.42014 409681780.04066 0 0.0 921.3211330504192 0.0 0.0 0.0
7 409681780.04066 409681781.66118 409681783.2817 0 0.0 921.3211330504192 0.0 0.0 0.0
8 409681783.2817 409681784.90222 409681786.52274 0 0.0 921.3211330504192 0.0 0.0 0.0
9 409681786.52274 409681788.14326 409681789.76378 0 0.0 921.3211330504192 0.0 0.0 0.0
10 409681789.76378 409681791.3843 409681793.00482 0 0.0 921.3211330504192 0.0 0.0 0.0
11 409681793.00482 409681794.62534 409681796.24586 0 0.0 921.3211330504192 0.0 0.0 0.0
12 409681796.24586004 409681797.86638004 409681799.48690003 0 0.0 921.3211330504192 0.0 0.0 0.0
13 409681799.48690003 409681801.10742 409681802.72794 0 0.0 921.3211330504192 0.0 0.0 0.0
14 409681802.72794 409681804.34846 409681805.96898 0 0.0 921.3211330504192 0.0 0.0 0.0
15 409681805.96898 409681807.5895 409681809.21002 0 0.0 921.3211330504192 0.0 0.0 0.0
16 409681809.21002 409681810.83054 409681812.45106 0 0.0 921.3211330504192 0.0 0.0 0.0
17 409681812.45106 409681814.07158 409681815.6921 0 0.0 921.3211330504192 0.0 0.0 0.0
18 409681815.6921 409681817.31262 409681818.93314 0 0.0 921.3211330504192 0.0 0.0 0.0
19 409681818.93314004 409681820.55366004 409681822.17418003 0 0.0 921.3211330504192 0.0 0.0 0.0
20 409681822.17418003 409681823.7947 409681825.41522 0 0.0 921.3211330504192 0.0 0.0 0.0
21 409681825.41522 409681827.03574 409681828.65626 0 0.0 921.3211330504192 0.0 0.0 0.0
22 409681828.65626 409681830.27678 409681831.8973 0 0.0 921.3211330504192 0.0 0.0 0.0
23 409681831.8973 409681833.51782 409681835.13834 0 0.0 921.3211330504192 0.0 0.0 0.0
24 409681835.13834 409681836.75886 409681838.37938 0 0.0 921.3211330504192 0.0 0.0 0.0
25 409681838.37938 409681839.9999 409681841.62042 0 0.0 921.3211330504192 0.0 0.0 0.0
26 409681841.62042004 409681843.24094003 409681844.86146003 0 0.0 921.3211330504192 0.0 0.0 0.0
27 409681844.86146003 409681846.48198 409681848.1025 0 0.0 921.3211330504192 0.0 0.0 0.0
28 409681848.1025 409681849.72302 409681851.34354 0 0.0 921.3211330504192 0.0 0.0 0.0
29 409681851.34354 409681852.96406 409681854.58458 0 0.0 921.3211330504192 0.0 0.0 0.0
30 409681854.58458 409681856.2051 409681857.82562 0 0.0 921.3211330504192 0.0 0.0 0.0
31 409681857.82562 409681859.44614 409681861.06666 0 0.0 921.3211330504192 0.0 0.0 0.0
32 409681861.06666 409681862.68718 409681864.3077 0 0.0 921.3211330504192 0.0 0.0 0.0
33 409681864.30770004 409681865.92822003 409681867.54874 0 0.0 921.3211330504192 0.0 0.0 0.0
34 409681867.54874 409681869.16926 409681870.78978 0 0.0 921.3211330504192 0.0 0.0 0.0
35 409681870.78978 409681872.4103 409681874.03082 0 0.0 921.3211330504192 0.0 0.0 0.0
36 409681874.03082 409681875.65134 409681877.27186 0 0.0 921.3211330504192 0.0 0.0 0.0
37 409681877.27186 409681878.89238 409681880.5129 0 0.0 921.3211330504192 0.0 0.0 0.0
38 409681880.5129 409681882.13342 409681883.75394 0 0.0 921.3211330504192 0.0 0.0 0.0
39 409681883.75394 409681885.37446 409681886.99498 0 0.0 921.3211330504192 0.0 0.0 0.0
40 409681886.99498004 409681888.61550003 409681890.23602 0 0.0 921.3211330504192 0.0 0.0 0.0
41 409681890.23602 409681891.85654 409681893.47706 0 0.0 921.3211330504192 0.0 0.0 0.0
42 409681893.47706 409681895.09758 409681896.7181 0 0.0 921.3211330504192 0.0 0.0 0.0
43 409681896.7181 409681898.33862 409681899.95914 0 0.0 921.3211330504192 0.0 0.0 0.0
44 409681899.95914 409681901.57966 409681903.20018 0 0.0 921.3211330504192 0.0 0.0 0.0
45 409681903.20018 409681904.8207 409681906.44122 0 0.0 921.3211330504192 0.0 0.0 0.0
46 409681906.44122005 409681908.06174004 409681909.68226004 0 0.0 921.3211330504192 0.0 0.0 0.0
47 409681909.68226004 409681911.30278003 409681912.9233 0 0.0 921.3211330504192 0.0 0.0 0.0
48 409681912.9233 409681914.54382 409681916.16434 0 0.0 921.3211330504192 0.0 0.0 0.0
49 409681916.16434 409681917.78486 409681919.40538 0 0.0 921.3211330504192 0.0 0.0 0.0
50 409681919.40538 409681921.0259 409681922.64642 0 0.0 921.3211330504192 0.0 0.0 0.0
51 409681922.64642 409681924.26694 409681925.88746 0 0.0 921.3211330504192 0.0 0.0 0.0
52 409681925.88746 409681927.50798 409681929.1285 0 0.0 921.3211330504192 0.0 0.0 0.0
53 409681929.12850004 409681930.74902004 409681932.36954004 0 0.0 921.3211330504192 0.0 0.0 0.0
54 409681932.36954004 409681933.99006003 409681935.61058 0 0.0 921.3211330504192 0.0 0.0 0.0
55 409681935.61058 409681937.2311 409681938.85162 0 0.0 921.3211330504192 0.0 0.0 0.0
56 409681938.85162 409681940.47214 409681942.09266 0 0.0 921.3211330504192 0.0 0.0 0.0
57 409681942.09266 409681943.71318 409681945.3337 0 0.0 921.3211330504192 0.0 0.0 0.0
58 409681945.3337 409681946.95422 409681948.57474 0 0.0 921.3211330504192 0.0 0.0 0.0
59 409681948.57474 409681950.19526 409681951.81578 0 0.0 921.3211330504192 0.0 0.0 0.0
60 409681951.81578004 409681953.43630004 409681955.05682003 0 0.0 921.3211330504192 0.0 0.0 0.0
61 409681955.05682003 409681956.67734003 409681958.29786 0 0.0 921.3211330504192 0.0 0.0 0.0
62 409681958.29786 409681959.91838 409681961.5389 0 0.0 921.3211330504192 0.0 0.0 0.0
63 409681961.5389 409681963.15942 409681964.77994 0 0.0 921.3211330504192 0.0 0.0 0.0
64 409681964.77994 409681966.40046 409681968.02098 0 0.0 921.3211330504192 0.0 0.0 0.0
65 409681968.02098 409681969.6415 409681971.26202 0 0.0 921.3211330504192 0.0 0.0 0.0
66 409681971.26202 409681972.88254 409681974.50306 0 0.0 921.3211330504192 0.0 0.0 0.0
67 409681974.50306004 409681976.12358004 409681977.74410003 0 0.0 921.3211330504192 0.0 0.0 0.0
68 409681977.74410003 409681979.36462003 409681980.98514 0 0.0 921.3211330504192 0.0 0.0 0.0
69 409681980.98514 409681982.60566 409681984.22618 0 0.0 921.3211330504192 0.0 0.0 0.0
70 409681984.22618 409681985.8467 409681987.46722 0 0.0 921.3211330504192 0.0 0.0 0.0
71 409681987.46722 409681989.08774 409681990.70826 0 0.0 921.3211330504192 0.0 0.0 0.0
72 409681990.70826 409681992.32878 409681993.9493 0 0.0 921.3211330504192 0.0 0.0 0.0
73 409681993.9493 409681995.56982 409681997.19034 0 0.0 921.3211330504192 0.0 0.0 0.0
